name,2023-09-26,2023-09-27,2023-09-28,2023-09-29,2023-09-30,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24,2023-10-25
0x,1824374.703698133,1051041.5704258303,699962.217777372,1823332.368229725,836325.8385787321,541960.7899178927,1361289.2155924428,167978.64123825525,716856.375681382,167588.34908538163,652061.4108532515,1556319.26813418,388794.39087745297,1651212.1582526916,1092378.1287831643,4181888.4737511706,1742866.788253429,896260.2995739989,1381714.6672243522,527803.7837053408,2207137.027806717,1624510.99028128,1214247.4962380948,2926499.944029658,3090671.828765087,1132314.6978941204,2184463.2263733684,5608954.463985802,128684.95127491288,1980164.9481263133
10KSwap,1252994.8536059214,1393175.642933976,1480672.348145218,1407131.8513028866,1659136.5279370192,1440885.4266842348,1128718.8247927974,1106008.1420140811,1043578.5208338922,997137.7975554666,1062242.3203133494,1139845.8978941354,1043406.2390444186,1000924.667634372,1025053.1505556128,973334.181811392,901794.5238811852,958801.3548469362,1119186.5225277462,1020165.9049604732,989699.8357681849,1126558.279387454,1084273.6584280452,1041188.0934832398,787614.687409131,961764.4772897416,1036871.0292742176,1012843.1831405,780013.896192872,1205396.2152079376
3xcalibur,353.3942836723263,983.2533167837876,788.0249237701865,377.7518554751465,498.7790101469163,785.0505711531979,1912.253848593256,180.95988793342505,465.084275070137,168.31574166056757,139.4906453287577,341.04638731747303,405.6207692653811,1874.554269549128,175.38502232198766,411.2095989127198,1324.4760322664324,144.987033962536,147.19961132789,27.666587195816287,1120.251044652111,277.74410686702714,250.18085973895245,209.807959669253,1202.630701208118,587.549903501591,537.8499379906732,1712.6682465143492,3907.925453283248,386.2501626633825
4Swap,865244.7000000001,2774206.0500000003,753123.94,1298770.9900000005,748246.9200000003,287953.3600000002,431129.6600000002,674053.83,718744.0700000003,2298677.9599999986,863631.3699999998,1631632.4200000002,621803.6899999998,684781.9499999998,1738045.1799999997,984563.4000000004,481698.41999999975,680226.4700000001,679474.1500000001,508607.9599999997,426642.82,734404.9700000004,653475.9799999996,752237.8099999997,605806.6099999998,357983.94,191337.25,520583.7000000002,1422919.4899999995,3779649.79
Arbitrum-Exchange,86822.83744557257,206854.7396857253,264723.12310803874,250073.5411930911,170092.3674703743,301462.30517199833,298232.20507599576,135956.06238373814,162877.2562207152,119723.47423152791,122490.28618692934,89837.04473774906,72724.22276564995,190873.2770697928,136684.60506296932,129912.12211328768,246624.84555008568,142352.60125585782,54344.64901590191,52993.07837726395,236651.023064452,57086.60551304493,61818.35561698157,81032.25346189174,94085.19904471548,85282.18356007019,76977.81528056054,229175.635180018,276632.8625341965,97054.7687693294
DerpDEX,162798.72299819064,164920.31517372766,159329.68774442913,81303.39629408982,86161.22466080068,85022.98031788459,194487.0102745896,262852.2744113968,101947.4188938058,85587.114947194,170863.934174973,199063.62169029337,195733.81599329377,110814.27521935436,21331.056587109742,48718.47260528089,23414.482149083746,33944.176166167534,38925.3021545946,35022.66709763909,65519.83349887816,22172.806485195542,30572.469645211662,35471.72543624815,38821.45710973435,28912.65011469012,37131.976914030674,22861.89851418761,21234.927973070386,11981.867231850849
MantisSwap,34036.2076,41672.374500000005,32860.619,36420.0141,24941.1708,28642.7435,29977.0054,31484.4522,32819.5759,30975.3475,28702.188,37094.7192,32242.0909,32176.5736,34143.693499999994,35022.487799999995,36139.5563,36844.2761,28663.0169,20037.947,23637.9495,19395.1461,9935.0468,15561.2566,13284.1101,15969.6225,19946.0337,13099.4926,9521.67,6978.7878
Scale,0.0004776269999999,0.0,6555.88831278147,12199.576662266612,3002.8005490147493,3198.1869299902014,11829.903082213836,10668.93686985275,89179.87577229548,1116673.25871157,338462.0736910576,83858.03978511524,99390.65516591752,349174.8822244696,310109.35149666126,355978.91794321366,548348.5225859318,326375.92535581294,99650.8928724616,170851.535125849,1215206.5829370816,475109.2843678755,413309.6409730501,441263.6790279495,271962.23838747403,184914.9955832076,250450.44590233229,1483131.8064350623,1573300.8805511014,550448.3206642382
SmarDex,288377.1538892016,201416.7677587868,256307.91352048056,276892.3640829924,301692.3394428129,404562.7222472039,364370.8108413204,247702.30936665827,327984.0749330327,234972.0221271852,281688.57249462005,285013.0031656264,205814.34417397832,387458.1459613921,285010.108030685,427634.3878653955,276093.7028349387,313396.0886047842,162753.56435055973,167320.987888141,629314.9232416691,395835.87521814246,486177.76254047273,369941.15273662936,593562.7123731656,542434.8545088146,440375.7796424208,944852.07515734,758717.3153526768,617761.227982756
ABcDeFX,0.0,1.4193864023592468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3915628689359328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
